Tumor_Sample_Barcode	signature	weights	short_histology	experimental_strategy	num_mutations	genome_size	mut_per_mb
BS_169P1QCA	Signature.1	0.3102876182698172	HGAT	WGS	402.1327532776831	3088286401	0.13021226047800194
BS_Y96RP1HJ	Signature.1	0.4368541145553628	HGAT	WGS	93.92363462940301	3088286401	0.030412864104504736
BS_JDZX545X	Signature.1	0.2798245657788109	HGAT	WGS	383.3596551169709	3088286401	0.12413345309969874
BS_2NDRETB2	Signature.1	0.34290253334904985	HGAT	WGS	327.81482188169167	3088286401	0.10614780474231401
BS_2X60Q1ET	Signature.1	0.5933904618875757	HGAT	WGS	47.471236951006055	3088286401	0.015371384252326686
BS_5Z0GA574	Signature.1	0.433320546766382	HGAT	WGS	354.8895278016669	3088286401	0.11491470729099224
BS_B19AWBBW	Signature.1	0.3998295727054451	HGAT	WGS	47.17988957924252	3088286401	0.015277044759827158
BS_Z64NEPNE	Signature.1	0.36143982908507616	HGAT	WGS	221.92405505823677	3088286401	0.07185993338777674
BS_Z3AB3KMP	Signature.1	0.1771825826001771	HGAT	WGS	300.85602525510075	3088286401	0.09741843410561997
BS_KQRAHH6Y	Signature.1	0.2740212989122594	HGAT	WGS	47.405684711820875	3088286401	0.015350158164239793
BS_RWJ0571Q	Signature.1	0.1976719477695916	HGAT	WGS	530.946851709123	3088286401	0.1719228020876562
BS_X6H86RTA	Signature.1	0.3601864672761274	HGAT	WGS	47.90480014772495	3088286401	0.015511773821305296
BS_1Q524P3B	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_HYKV2TH9	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_YHXMYDBN	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_3VKW5988	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_JRFVST47	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_AF5D41PD	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_TQ0J7WJQ	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_CGXTFM67	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_YZD4SSMA	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_HEJ72V3F	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_4DQAQFQH	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_BQ81D2BP	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_1MME7FBS	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_X5VN0FW0	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_0ATJ22QA	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_H8NWA41N	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_8SYN7GXG	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_3Z40EZHD	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_NNFDFAFM	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_682Z7WH6	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_J8EH1N7V	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_D6STCMQS	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_R6CKWZW6	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_CBMAWSAR	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_J8EK6RNF	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_9P4NDTKJ	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_22VCR7DF	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_Q6GVRAWK	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_EE73VE7V	Signature.2	0.09156713755860725	HGAT	WGS	9.431415168536546	3088286401	0.0030539315153810267
BS_7PF3C1P7	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_6JBE0947	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_VXDGXQKZ	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_ZSH09N84	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_QZRP3NSG	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_DVDT4VXQ	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_Y74XAFJX	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_5968GBGT	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_M0B42FPR	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_AHAXPFG3	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_7GKF6M85	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_FK3B5SDH	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_M5FM63EB	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_AK9BV52G	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_B4PPG3X5	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_QFH9XM6Q	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_4DYW3T2A	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_7G3AFSCR	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_JD05XR6E	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_VCE73HPW	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_G65EA38C	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_DRVEFVQ5	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_4PM2QG9C	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_CD7AXQM8	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_38CD519Z	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_0AK4F99X	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_169P1QCA	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_Y96RP1HJ	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_JDZX545X	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_2NDRETB2	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_2X60Q1ET	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_5Z0GA574	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_B19AWBBW	Signature.2	0	HGAT	WGS	0	3088286401	0
