Tumor_Sample_Barcode	signature	weights	short_histology	experimental_strategy	num_mutations	genome_size	mut_per_mb
BS_328C4BW5	Signature.1	0.4516696781528789	HGAT	WXS	25.293501976561217	149089890	0.16965269728592072
BS_P7VR731D	Signature.1	0.30585015399891824	HGAT	WXS	10.39890523596322	149089890	0.0697492313929752
BS_74SJ7YV4	Signature.1	0.1912210925247304	HGAT	WXS	8.222506978563407	149089890	0.05515133842115926
BS_52ETE050	Signature.1	0.15603723899080738	HGAT	WXS	6.085452320641488	149089890	0.040817337249638375
BS_TYFD8ZMG	Signature.1	0	HGAT	WXS	0	149089890	0
BS_2KMB51YF	Signature.1	0.17418987808471648	HGAT	WXS	6.096645732965077	149089890	0.04089241552841093
BS_XPZAD9PP	Signature.1	0.07916598939555422	HGAT	WXS	4.749959363733253	149089890	0.031859701309949674
BS_GKXD33YH	Signature.1	0.5592741405327429	HGAT	WXS	46.419753664217666	149089890	0.31135413450380617
BS_CX6KACX6	Signature.1	0	HGAT	WXS	0	149089890	0
BS_JCWD4DMA	Signature.1	0.2073703308987083	HGAT	WXS	23.432847391554038	149089890	0.1571726117146779
BS_1RTE2KEX	Signature.1	0.2767566669958432	HGAT	WXS	23.24756002765083	149089890	0.15592982212040557
BS_H3TYF6GD	Signature.1	0.23026020985842857	HGAT	WXS	20.493158677400142	149089890	0.1374550526356961
BS_FWP8ZA4K	Signature.1	0.5281582049850372	HGAT	WXS	30.633175889132158	149089890	0.20546782809439432
BS_Y0DGBKTY	Signature.1	0	HGAT	WXS	0	149089890	0
BS_2HDEZFTW	Signature.1	0	HGAT	WXS	0	149089890	0
BS_6VTQ3W4M	Signature.1	0.2296290108096336	HGAT	WXS	13.548111637768383	149089890	0.09087210164128756
BS_541KKASA	Signature.1	0.13990179980120426	HGAT	WXS	10.072929585686706	149089890	0.06756279440334087
BS_6687ZNGS	Signature.1	0.3389835759031923	HGAT	WXS	20.000030978288343	149089890	0.1341474661916267
BS_GBT44HST	Signature.1	0.181062330774944	HGAT	WXS	21.36535503144339	149089890	0.14330519012015763
BS_AEEKJ1QK	Signature.1	0.1951995450009184	HGAT	WXS	9.564777705045001	149089890	0.06415443532116766
BS_6DT506HY	Signature.1	0	HGAT	WXS	0	149089890	0
BS_74TZJTW0	Signature.1	0.6941304493592397	HGAT	WXS	34.012392018602746	149089890	0.2281334570613926
BS_KPG4WCHS	Signature.1	0.25537508146052257	HGAT	WXS	15.322504887631354	149089890	0.1027736011317156
BS_402W79TS	Signature.1	0	HGAT	WXS	0	149089890	0
BS_A6YJ3WG2	Signature.1	0.06373777056403403	HGAT	WXS	3.7605284632780074	149089890	0.0252232291758885
BS_5CCAC8TZ	Signature.1	0.4366389340575629	HGAT	WXS	35.804392592720156	149089890	0.2401530552656532
BS_WYTDVC0Y	Signature.1	0	HGAT	WXS	0	149089890	0
BS_QZPGVNBB	Signature.1	0	HGAT	WXS	0	149089890	0
BS_9DN4QR6E	Signature.1	0.20483002859682367	HGAT	WXS	14.133271973180833	149089890	0.09479698437755124
BS_6B62YT97	Signature.1	0.3467148740311177	HGAT	WXS	19.76274781977371	149089890	0.13255592193255836
BS_5FBN4PPQ	Signature.1	0	HGAT	WXS	0	149089890	0
BS_328C4BW5	Signature.2	0	HGAT	WXS	0	149089890	0
BS_P7VR731D	Signature.2	0	HGAT	WXS	0	149089890	0
BS_74SJ7YV4	Signature.2	0	HGAT	WXS	0	149089890	0
BS_52ETE050	Signature.2	0	HGAT	WXS	0	149089890	0
BS_TYFD8ZMG	Signature.2	0	HGAT	WXS	0	149089890	0
BS_2KMB51YF	Signature.2	0	HGAT	WXS	0	149089890	0
BS_XPZAD9PP	Signature.2	0	HGAT	WXS	0	149089890	0
BS_GKXD33YH	Signature.2	0	HGAT	WXS	0	149089890	0
BS_CX6KACX6	Signature.2	0	HGAT	WXS	0	149089890	0
BS_JCWD4DMA	Signature.2	0	HGAT	WXS	0	149089890	0
BS_1RTE2KEX	Signature.2	0	HGAT	WXS	0	149089890	0
BS_H3TYF6GD	Signature.2	0	HGAT	WXS	0	149089890	0
BS_FWP8ZA4K	Signature.2	0	HGAT	WXS	0	149089890	0
BS_Y0DGBKTY	Signature.2	0	HGAT	WXS	0	149089890	0
BS_2HDEZFTW	Signature.2	0	HGAT	WXS	0	149089890	0
BS_6VTQ3W4M	Signature.2	0	HGAT	WXS	0	149089890	0
BS_541KKASA	Signature.2	0.11378485076860848	HGAT	WXS	8.192509255339811	149089890	0.05495013280471138
BS_6687ZNGS	Signature.2	0	HGAT	WXS	0	149089890	0
BS_GBT44HST	Signature.2	0	HGAT	WXS	0	149089890	0
BS_AEEKJ1QK	Signature.2	0	HGAT	WXS	0	149089890	0
BS_6DT506HY	Signature.2	0	HGAT	WXS	0	149089890	0
BS_74TZJTW0	Signature.2	0	HGAT	WXS	0	149089890	0
BS_KPG4WCHS	Signature.2	0	HGAT	WXS	0	149089890	0
BS_402W79TS	Signature.2	0.08156499615538843	HGAT	WXS	3.4257298385263137	149089890	0.02297761329441127
BS_A6YJ3WG2	Signature.2	0	HGAT	WXS	0	149089890	0
BS_5CCAC8TZ	Signature.2	0	HGAT	WXS	0	149089890	0
BS_WYTDVC0Y	Signature.2	0	HGAT	WXS	0	149089890	0
BS_QZPGVNBB	Signature.2	0	HGAT	WXS	0	149089890	0
BS_9DN4QR6E	Signature.2	0	HGAT	WXS	0	149089890	0
BS_6B62YT97	Signature.2	0	HGAT	WXS	0	149089890	0
BS_5FBN4PPQ	Signature.2	0	HGAT	WXS	0	149089890	0
BS_328C4BW5	Signature.3	0	HGAT	WXS	0	149089890	0
BS_P7VR731D	Signature.3	0	HGAT	WXS	0	149089890	0
BS_74SJ7YV4	Signature.3	0	HGAT	WXS	0	149089890	0
BS_52ETE050	Signature.3	0	HGAT	WXS	0	149089890	0
BS_TYFD8ZMG	Signature.3	0	HGAT	WXS	0	149089890	0
BS_2KMB51YF	Signature.3	0	HGAT	WXS	0	149089890	0
BS_XPZAD9PP	Signature.3	0	HGAT	WXS	0	149089890	0
BS_GKXD33YH	Signature.3	0.18980709692806505	HGAT	WXS	15.7539890450294	149089890	0.10566772196980895
BS_CX6KACX6	Signature.3	0	HGAT	WXS	0	149089890	0
BS_JCWD4DMA	Signature.3	0	HGAT	WXS	0	149089890	0
