Tumor_Sample_Barcode	signature	weights	short_histology	experimental_strategy	num_mutations	genome_size	mut_per_mb
BS_JWDK21ED	Signature.6	0.2314763548065787	HGAT	WXS	27.082733512369707	149089890	0.18165372254530276
BS_BT83BCEE	Signature.6	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.6	0.07572951242686776	HGAT	WXS	8.633164416662925	149089890	0.05790576689447504
BS_4SCDT7M9	Signature.6	0.2008277993639271	HGAT	WXS	9.238078770740648	149089890	0.061963147003064045
BS_7PAAZQE6	Signature.6	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.6	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.6	0.12418179824863228	HGAT	WXS	5.836544517685717	149089890	0.039147822281482114
BS_JC7E55BV	Signature.6	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.6	0.13787738508446332	HGAT	WXS	5.652972788462996	149089890	0.03791654007165071
BS_DD2N8CEX	Signature.7	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.7	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.7	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.7	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.7	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.7	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.7	0.06722220946314768	HGAT	WXS	3.092221635304793	149089890	0.02074065273845727
BS_7PAAZQE6	Signature.7	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.7	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.7	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.7	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.7	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.8	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.8	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.8	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.8	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.8	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.8	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.8	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.8	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.8	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.8	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.8	0	HGAT	WGS	0	3088286401	0
